No,Date,Invoice,BarCode,Description,Unit,Q'tity,Price,Promotion,Total
124,7/14/12,HBL/TT/08/07/12_00020,SG0077,DOUBLE PENCIL SHARPENER 6pk,PACK,1,"18,000",0,"18,000"
125,7/14/12,HBL/TT/08/07/12_00020,SE0124,FLEXI PVC PENCILS 5pk,PACK,1,"20,000",0,"20,000"
126,7/14/12,HBL/TT/08/07/12_00020,SE0086,JUMBO PENCIL W/SHARPENER,PC,1,"18,000",0,"18,000"
127,7/14/12,HBL/TT/08/07/12_00020,KT0126,CAKE DECORATING SET 7 NOZZLES,SET,1,"29,000",0,"29,000"
128,7/14/12,HBL/TT/08/07/12_00020,KA0118,SILICON SPATULA 26cm,PC,1,"28,000",0,"28,000"
129,7/14/12,HBL/TT/08/07/12_00020,KC0088,SILICON MINI CAKE MOULDS 12pk,PACK,1,"35,000",0,"35,000"
130,7/14/12,HBL/TT/08/07/12_00020,KA0251,CHEF KNIFE COLOURED,PC,1,"69,000","50,000","19,000"
131,7/14/12,HBL/TT/08/07/12_00021,KC0171,RAMEKIN CERAMIC WHITE RIBBED S,PC,3,"25,000",0,"75,000"
132,7/14/12,HBL/TT/08/07/12_00021,KA0090,MEASURE SPOONS 10pk BLK/WHITE,SET,1,"29,000","21,000","8,000"
133,7/14/12,HBL/TT/08/07/12_00021,KA0008,TONGS POLISHED STEEL 30CM,PC,1,"20,000",0,"20,000"
134,7/14/12,HBL/TT/08/07/12_00021,KA0035,SPLATTER GUARD 32CM,PC,1,"29,000","29,000",0
135,7/14/12,HBL/TT/08/07/12_00021,BC0017,ALUMINIUM FOIL 5 MTR,ROLL,1,"16,000",0,"16,000"
136,7/14/12,HBL/TT/08/07/12_00021,un34926,SUNSILK SHAMPOO,,3,"20,000","6,000","54,000"
137,7/14/12,HBL/TT/08/07/12_00022,AH0083,FLAT HAIR CLIPS COLOURED 12pk,PACK,1,"14,000",0,"14,000"
138,7/14/12,HBL/TT/08/07/12_00022,AH0182,ALICE BAND W/10pc ELASTICS,SET,1,"23,000",0,"23,000"
139,7/14/12,HBL/TT/08/07/12_00022,AG0390,DELUXE BATH BALL NYLON 120gm,PC,1,"25,000",0,"25,000"
140,7/14/12,HBL/TT/08/07/12_00022,AG0867,BUBBLE BATH 2asst 473ml,PC,2,"29,000",0,"58,000"
141,7/14/12,HBL/TT/08/07/12_00022,BC0116,PARTY STRAWS W/SPOON 100pc,PACK,1,"19,000",0,"19,000"
142,7/14/12,HBL/TT/08/07/12_00022,BC0073,SPONGE SCOURERS 10pk RAINBOW,PACK,1,"23,000",0,"23,000"
143,7/14/12,HBL/TT/08/07/12_00022,KA0171,KNIFE SET W/CHOP BOARD WD 6pk,SET,1,"99,000","50,000","49,000"
144,7/14/12,HBL/TT/08/07/12_00023,KA0137,SILICON OVEN GLOVE,PC,2,"59,000",0,"118,000"
145,7/14/12,HBL/TT/08/07/12_00023,KS0043,SPLATTER LID W/KNOB BLK MESH ,PC,1,"38,000",0,"38,000"
146,7/14/12,HBL/TT/08/07/12_00023,CK0003,BEANIE ACRYLIC KNITTED 68g,PC,1,"45,000",0,"45,000"
147,7/14/12,HBL/TT/08/07/12_00023,CK0012,LADIES MAGIC GLOVES ,PAIR,2,"19,000",0,"38,000"
148,7/14/12,HBL/TT/08/07/12_00023,AH0073,MINI O HAIR RINGS 250pc 3ASST,PACK,1,"18,000",0,"18,000"
149,7/14/12,HBL/TT/08/07/12_00023,BC0007,HOUSEHOLD RUBBER GLOVES 1 PR,PAIR,2,"22,000",0,"44,000"
150,7/14/12,HBL/TT/08/07/12_00024,AH0082,BOBBY PINS COLOUR SMALL 100pk,PACK,1,"23,000",0,"23,000"
151,7/14/12,HBL/TT/08/07/12_00024,HT0040,T TYPE SCREWDRIVER SET 21PC,SET,1,"45,000",0,"45,000"
152,7/14/12,HBL/TT/08/07/12_00024,TE0099,MAGIC CUBE PUZZLE ,PC,1,"29,000",0,"29,000"
153,7/14/12,HBL/TT/08/07/12_00024,MT0001,FACE WASHER 33X33CM 47GM,PC,1,"20,000",0,"20,000"
154,7/14/12,HBL/TT/08/07/12_00024,OB0083,TRAV COFF MUG SILC-GRIP 335ml,PC,1,"59,000","50,000","9,000"
155,7/14/12,HBL/TT/08/07/12_00024,OD0049,PARTY CUPS 40 225ml/8oz CLEAR,PACK,1,"25,000",0,"25,000"
156,7/14/12,HBL/TT/08/07/12_00025,NT0012,BABY BIB EVA CUTE PRINT,PC,1,"25,000","25,000",0
157,7/14/12,HBL/TT/08/07/12_00025,KT0106,KIDS PLACEMATS ANIMAL DES.4pk,PACK,1,"25,000","25,000",0
158,7/14/12,HBL/TT/08/07/12_00025,KD0013,COFFEE MUG PORC.BULLET 450ml,EACH,2,"29,000",0,"58,000"
159,7/14/12,HBL/TT/08/07/12_00025,KA0042,BBQ SKEWERS METAL 26CM  6PC,PACK,1,"20,000",0,"20,000"
160,7/14/12,HBL/TT/08/07/12_00026,KA0118,SILICON SPATULA 26cm,PC,1,"28,000",0,"28,000"
161,7/14/12,HBL/TT/08/07/12_00026,KC0105,FOIL TART/PIE CUPS 36pk,PC,1,"20,000","11,000","9,000"
162,7/14/12,HBL/TT/08/07/12_00026,KC0087,NON-STICK RND.CAKE PAN,PC,1,"39,000","39,000",0
163,7/14/12,HBL/TT/08/07/12_00026,BC0010,BAMBOO SKEWERS PK100 25CM,SET,1,"13,000",0,"13,000"
164,7/14/12,HBL/TT/08/07/12_00026,AT0087,TOOTHBRUSH w/ TRAVEL COVER,SET,6,"6,000",0,"36,000"
165,7/14/12,HBL/TT/08/07/12_00026,AP0811,HAND PUMP SOAP 500ml ROSE,PC,1,"24,000",0,"24,000"
166,7/14/12,HBL/TT/08/07/12_00026,UN36678,VISO HS STD POWDER WHITE 4x2.1kg,B_ch,1,"49,000",0,"49,000"
167,7/14/12,HBL/TT/08/07/12_00026,UN07833,P/S TOOTHPASTE COMPLETE 8 60x150g,Hép,2,"15,000",0,"30,000"
168,7/14/12,HBL/TT/08/07/12_00026,UN45762,SUNLIGHT HDW STD LIQ GTEA R0310 15x800g,Chai,2,"18,000",0,"36,000"
169,7/14/12,HBL/TT/08/07/12_00027,KT0124,PEEPPER SHAKER TRANSPARENT PDQ,PC,1,"39,000",0,"39,000"
170,7/14/12,HBL/TT/08/07/12_00027,BC0177,GOLD AND SILVER SCOURERS 4pk,PACK,1,"19,000",0,"19,000"
171,7/14/12,HBL/TT/08/07/12_00028,BC0121,M-FIBRE CLOTHS 30cm 4pk 220gsm,PACK,1,"35,000",0,"35,000"
172,7/14/12,HBL/TT/08/07/12_00028,BL0122,COAT HANGERS LAM WIRE 10pk,PACK,2,"29,000",0,"58,000"
173,7/14/12,HBL/TT/08/07/12_00028,BC0007,HOUSEHOLD RUBBER GLOVES 1 PR,PAIR,1,"22,000",0,"22,000"
174,7/14/12,HBL/TT/08/07/12_00028,KC0077,FOIL TRAYS 22x15.7x4.8cm 4pk,PACK,1,"19,000",0,"19,000"
175,7/14/12,HBL/TT/08/07/12_00028,HT0040,T TYPE SCREWDRIVER SET 21PC,SET,1,"45,000",0,"45,000"
176,7/14/12,HBL/TT/08/07/12_00028,UN36685,VISO HS STD POWDER WHITE 40x240g,B_ch,2,"6,500",0,"13,000"
177,7/14/12,HBL/TT/08/07/12_00029,UN36685,VISO HS STD POWDER WHITE 40x240g,B_ch,2,"6,500",0,"13,000"
178,7/14/12,HBL/TT/08/07/12_00029,AH0080,FLAT HAIR ELASTICS 24pk,PACK,1,"12,000",0,"12,000"
179,7/14/12,HBL/TT/08/07/12_00030,AG0018,NAIL BRUSH  2PC SET,SET,1,"15,000",0,"15,000"
180,7/14/12,HBL/TT/08/07/12_00030,BA0444,IRON CLEANING PADS 3pk,PACK,1,"18,000",0,"18,000"
181,7/14/12,HBL/TT/08/07/12_00030,AH0720,HAIR TIES NO METAL MEGA MIX,PACK,1,"15,000",0,"15,000"
182,7/14/12,HBL/TT/08/07/12_00030,BC0121,M-FIBRE CLOTHS 30cm 4pk 220gsm,PACK,1,"35,000",0,"35,000"
183,7/14/12,HBL/TT/08/07/12_00030,BC0147,MULTI CLEANER ERASER 4pk ,PACK,1,"29,000",0,"29,000"
184,7/14/12,HBL/TT/08/07/12_00030,BH0108,TOILET BRUSH W/HOLDER WHITE,SET,1,"18,000",0,"18,000"
185,7/14/12,HBL/TT/08/07/12_00030,KA0154,CHOPPING MATS COL 4pk 38x30cm,PACK,1,"45,000",0,"45,000"
186,7/14/12,HBL/TT/08/07/12_00030,KA0090,MEASURE SPOONS 10pk BLK/WHITE,SET,1,"29,000",0,"29,000"
187,7/14/12,HBL/TT/08/07/12_00030,KA0091,NYLON KITCH UTENSILS 4-ON-RACK,SET,1,"39,000",0,"39,000"
188,7/14/12,HBL/TT/08/07/12_00031,HG0003,PADLOCK LAM.STEEL 30MM,PC,1,"19,000","5,000","14,000"
189,7/14/12,HBL/TT/08/07/12_00031,BC0117,FANCY STRAWS 4pk MIXED COLOUR,PACK,1,"19,000",0,"19,000"
190,7/14/12,HBL/TT/08/07/12_00031,AH0847,SHAMP/COND. 2in1 KIDS 354ml,PC,1,"29,000",0,"29,000"
191,7/14/12,HBL/TT/08/07/12_00031,AG0867,BUBBLE BATH 2asst 473ml,PC,1,"29,000",0,"29,000"
192,7/14/12,HBL/TT/08/07/12_00031,UN44376,LUX PW BAR MGS 144x90g,Côc,10,"5,000",0,"50,000"
193,7/14/12,HBL/TT/08/07/12_00031,TM0188,RAINBOW MINI SPRINGS 3pc,PACK,1,"19,000",0,"19,000"
194,7/14/12,HBL/TT/08/07/12_00031,SE0124,FLEXI PVC PENCILS 5pk,PACK,1,"20,000","20,000",0
195,7/14/12,HBL/TT/08/07/12_00031,SE0086,JUMBO PENCIL W/SHARPENER,PC,2,"18,000",0,"36,000"
196,7/14/12,HBL/TT/08/07/12_00031,SK0004,MODELLING CLAY 18PC,PACK,1,"25,000","25,000",0
197,7/14/12,HBL/TT/08/07/12_00031,SL0019,STICKER BOOK 4ASST ,PC,2,"22,000",0,"44,000"
198,7/14/12,HBL/TT/08/07/12_00032,SE0033,WHITEBOARD MARKERS 3PK,PACK,1,"29,000",0,"29,000"
199,7/14/12,HBL/TT/08/07/12_00032,MK0008,APRON PE ASSTD DESIGNS,PACK,1,"13,000",0,"13,000"
200,7/14/12,HBL/TT/08/07/12_00032,QH0014,SCISSORS 3 SIZES PACK,SET,1,"28,000","28,000",0
201,7/14/12,HBL/TT/08/07/12_00032,TM0371,MINI GAMES PVC W/CASE 4asst,PC,1,"35,000","22,000","13,000"
202,7/14/12,HBL/TT/08/07/12_00032,TM0314,BUBBLE SWORD ASST COL,PC,2,"20,000",0,"40,000"
